1|1|dog| el perro|[ la perra; el padrino; la persona; el payaso; la pronto; el pavo]| The dog is barking loudly.| El perro está ladrando fuerte.
1|1|music| la música|[ la canción; el concierto; el ritmo; la melodía; el tema; la sinfonía]| I listen to music every day.| Escucho música todos los días.
1|1|piano| el piano|[ el órgano; el teclado; la guitarra; el xilófono; la flauta; el clarinete]| I can play the piano.| Puedo tocar el piano.
1|1|violin| el violín|[ la guitarra; la viola; el cello; la flauta; el bajo; el trombón]| I want to learn to play the violin.| Quiero aprender a tocar el violín.
1|1|drink| la bebida|[ el refresco; el trago; la copa; la cerveza; el jugo; el vino]| I need a drink.| Necesito una bebida.
1|2|dessert| el postre|[ el pastel; la tarta; el dulce; la golosina; la crema; el helado]| My favorite dessert is chocolate cake.| Mi postre favorito es el pastel de chocolate.
1|2|vegetable| la verdura|[ la fruta; el plato; el legumbre; el brote; la ensalada; el hortaliza]| I eat vegetables every day.| Como verduras todos los días.
1|2|meat| la carne|[ el pollo; el pescado; el cerdo; la ternera; la vaca; el bistec]| I prefer red meat.| Prefiero la carne roja.
1|2|chicken| el pollo|[ la gallina; el ave; el pavo; el gallo; la pechuga; el muslo]| We are having chicken for dinner.| Vamos a cenar pollo.
1|2|fish| el pescado|[ el marisco; el pez; el salmón; la trucha; la merluza; el atún]| I like to eat fish.| Me gusta comer pescado.
1|2|hair| el cabello|[ el pelo; el rizos; la melena; la cabellera; la peluca; el flequillo]| She has long hair.| Ella tiene el cabello largo.
1|2|hand| la mano|[ el brazo; el dedo; la palma; la muñeca; el antebrazo; la uña]| Raise your hand if you know the answer.| Levanta la mano si sabes la respuesta.
1|2|arm| el brazo|[ la pierna; el hombro; la muñeca; el codo; la mano; el antebrazo]| She broke her arm.| Ella se rompió el brazo.
1|2|leg| la pierna|[ el pie; el tobillo; el muslo; la rodilla; la cadera; el gemelo]| I hurt my leg while running.| Me lastimé la pierna mientras corría.
1|2|mouth| la boca|[ la lengua; los labios; la garganta; el diente; la encía; el paladar]| She opened her mouth to speak.| Ella abrió la boca para hablar.
1|3|stomach| el estómago|[ la barriga; el abdomen; el vientre; la digestión; la panza; el ombligo]| My stomach hurts after eating.| Me duele el estómago después de comer.
1|3|liver| el hígado|[ el bazo; el riñón; la vesícula; el páncreas; el intestino; la digestión]| The liver helps detoxify the body.| El hígado ayuda a desintoxicar el cuerpo.
1|3|injury| la herida|[ la lesión; el corte; el golpe; la fractura; el moretón; el daño]| He has an injury on his leg.| Él tiene una herida en la pierna.
1|3|rule| la regla|[ la norma; la directriz; el principio; el orden; la política; la pauta]| You must follow the rule.| Debes seguir la regla.
1|3|weapon| el arma|[ la pistola; la espada; el fusil; el rifle; la munición; el cuchillo]| He carries a weapon for protection.| Lleva un arma para protección.
1|3|cell| la célula|[ el núcleo; el átomo; el tejido; la batería; el organismo; la molécula]| Every living organism is made of cells.| Todo organismo vivo está hecho de células.
1|4|core| el núcleo|[ el centro; la base; la raíz; el corazón; el eje; el fondo]| The Earth's core is extremely hot.| El núcleo de la Tierra es extremadamente caliente.
1|4|dust| el polvo|[ la arena; la ceniza; el humo; el vapor; la niebla; el residuo]| The old books were covered in dust.| Los libros viejos estaban cubiertos de polvo.
1|4|lamp| la lámpara|[ el foco; la linterna; la luz; el farol; el bombillo; la antorcha]| She turned on the bedside lamp.| Encendió la lámpara de la mesilla de noche.
1|4|mold| el molde|[ la forma; el modelo; la matriz; el marco; el patrón; la figura]| The chef used a mold to shape the dessert.| El chef usó un molde para darle forma al postre.
1|4|path| el camino|[ la senda; la ruta; el trayecto; el paso; la vía; el corredor]| Follow the path to reach the summit.| Sigue el camino para llegar a la cima.
1|4|phase| la fase|[ el estado; el ciclo; el período; la etapa; el momento; el proceso]| The project is in its final phase.| El proyecto está en su fase final.
1|5|rod| la varilla|[ el palo; el tubo; la barra; el eje; el soporte; la línea]| The fisherman used a long rod to catch fish.| El pescador usó una varilla larga para pescar.
1|5|stack| la pila|[ el montón; el bloque; la torre; el grupo; el apilado; el conjunto]| He organized the books into a neat stack.| Organizó los libros en una pila ordenada.
1|5|arc| el arco|[ el círculo; la curva; la línea; la flecha; el ángulo; el eje]| The rainbow formed a beautiful arc in the sky.| El arco iris formó un hermoso arco en el cielo.
1|5|axis| el eje|[ la línea; el polo; el núcleo; el punto; la barra; el radio]| The Earth rotates on its axis.| La Tierra gira sobre su eje.
2|6|band| la banda|[ el grupo; la orquesta; el conjunto; el coro; el equipo; el círculo]| The marching band performed during halftime.| La banda de marcha actuó durante el descanso.
2|6|bell| la campana|[ el timbre; la alarma; el gong; el reloj; la bocina; el sonido]| The bell rang loudly at noon.| La campana sonó fuerte al mediodía.
2|7|knot| el nudo|[ la cuerda; el lazo; el hilo; el cordón; el amarre; el enlace]| He tied the rope into a secure knot.| Ató la cuerda con un nudo seguro.
